__main__ - INFO - Loaded 1211 DPO samples.
__main__ - INFO - epoch=0 step=1103 loss=0.465829 margin=0.562757 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=1111 loss=0.479653 margin=0.504390 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=1119 loss=0.532029 margin=0.368286 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=1127 loss=0.446336 margin=0.597801 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=1135 loss=0.506936 margin=0.432036 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=1143 loss=0.435257 margin=0.631923 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=1151 loss=0.562626 margin=0.334856 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=1159 loss=0.524735 margin=0.393939 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=1167 loss=0.556876 margin=0.308224 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=1175 loss=0.449158 margin=0.609572 preference_accuracy=1.0000
__main__ - INFO - epoch=0 step=1183 loss=0.503318 margin=0.451229 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=1191 loss=0.497936 margin=0.466687 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=1199 loss=0.467134 margin=0.543205 preference_accuracy=0.8750
__main__ - INFO - epoch=0 step=1207 loss=0.500887 margin=0.489551 preference_accuracy=0.7500
__main__ - INFO - epoch=0 step=1210 loss=0.544153 margin=0.335909 preference_accuracy=1.0000
utils - INFO - Loaded 2140 MATH test cases from /home/hoshimi/tech_challenge/data/MATH/original/test.jsonl
utils - INFO - Formatted 2140 prompts
utils - INFO - Initializing vLLM model from /home/hoshimi/tech_challenge/models/Qwen2.5-Math-1.5B-DPO
pylatexenc.latexwalker - INFO - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(1,86)
pylatexenc.latexwalker - INFO - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(2,123)
pylatexenc.latexwalker - INFO - Ignoring parse error (tolerant parsing mode): Unexpected closing math mode: '\]' @(3,56)
utils - INFO - answer_reward: 0.0477
utils - INFO - format_reward: 0.2645
utils - INFO - reward: 0.0477
utils - INFO - Correct (format=1, answer=1): 102/2140 (4.8%)
utils - INFO - Format correct, answer wrong (format=1, answer=0): 464/2140 (21.7%)
utils - INFO - Format incorrect (format=0, answer=0): 1574/2140 (73.6%)
